,layer,pos,prob
0,0,0,0.146484375
1,0,1,0.0203857421875
2,0,2,0.0020904541015625
3,1,0,0.1513671875
4,1,1,0.0615234375
5,1,2,0.002960205078125
6,2,0,0.08251953125
7,2,1,0.04638671875
8,2,2,0.0024566650390625
9,3,0,0.1318359375
10,3,1,0.021484375
11,3,2,0.007293701171875
12,4,0,0.26953125
13,4,1,0.036865234375
14,4,2,0.00726318359375
15,5,0,0.050537109375
16,5,1,0.0220947265625
17,5,2,0.0269775390625
18,6,0,0.0011138916015625
19,6,1,0.04833984375
20,6,2,0.04638671875
21,7,0,0.000591278076171875
22,7,1,0.0458984375
23,7,2,0.34765625
24,8,0,0.00058746337890625
25,8,1,0.0703125
26,8,2,0.33984375
27,9,0,0.000850677490234375
28,9,1,0.0016937255859375
29,9,2,0.283203125
30,10,0,0.00089263916015625
31,10,1,0.00135040283203125
32,10,2,0.251953125
33,11,0,0.00078582763671875
34,11,1,0.0011138916015625
35,11,2,0.10986328125
36,12,0,0.000888824462890625
37,12,1,0.000720977783203125
38,12,2,0.06103515625
39,13,0,0.00102996826171875
40,13,1,0.0032806396484375
41,13,2,0.062255859375
42,14,0,0.0016632080078125
43,14,1,0.003997802734375
44,14,2,0.055908203125
45,15,0,0.001983642578125
46,15,1,0.001983642578125
47,15,2,0.0693359375
